"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"210","bocqueti","W+","Ringer",2022-10-22,"R5",14,4,"bocquetiW+RingerR5"
"211","bocqueti","W-","FHV",2022-10-22,"R1",8,4,"bocquetiW-FHVR1"
"212","bocqueti","W-","FHV",2022-10-22,"R2",11,4,"bocquetiW-FHVR2"
"213","bocqueti","W-","FHV",2022-10-22,"R3",10,4,"bocquetiW-FHVR3"
"214","bocqueti","W-","FHV",2022-10-22,"R4",11,4,"bocquetiW-FHVR4"
"215","bocqueti","W-","FHV",2022-10-22,"R5",13,4,"bocquetiW-FHVR5"
"216","bocqueti","W-","Ringer",2022-10-22,"R1",14,4,"bocquetiW-RingerR1"
"217","bocqueti","W-","Ringer",2022-10-22,"R2",14,4,"bocquetiW-RingerR2"
"218","bocqueti","W-","Ringer",2022-10-22,"R3",13,4,"bocquetiW-RingerR3"
"219","bocqueti","W-","Ringer",2022-10-22,"R4",10,4,"bocquetiW-RingerR4"
"220","bocqueti","W-","Ringer",2022-10-22,"R5",8,4,"bocquetiW-RingerR5"
"221","melanogaster","W+","FHV",2022-10-22,"R1",14,4,"melanogasterW+FHVR1"
"222","melanogaster","W+","FHV",2022-10-22,"R2",15,4,"melanogasterW+FHVR2"
"223","melanogaster","W+","FHV",2022-10-22,"R3",13,4,"melanogasterW+FHVR3"
"224","melanogaster","W+","FHV",2022-10-22,"R4",13,4,"melanogasterW+FHVR4"
"225","melanogaster","W+","FHV",2022-10-22,"R5",14,4,"melanogasterW+FHVR5"
"226","melanogaster","W+","Ringer",2022-10-22,"R1",11,4,"melanogasterW+RingerR1"
"227","melanogaster","W+","Ringer",2022-10-22,"R2",13,4,"melanogasterW+RingerR2"
"228","melanogaster","W+","Ringer",2022-10-22,"R3",14,4,"melanogasterW+RingerR3"
"229","melanogaster","W+","Ringer",2022-10-22,"R4",15,4,"melanogasterW+RingerR4"
"230","melanogaster","W+","Ringer",2022-10-22,"R5",13,4,"melanogasterW+RingerR5"
"231","melanogaster","W-","FHV",2022-10-22,"R1",14,4,"melanogasterW-FHVR1"
"232","melanogaster","W-","FHV",2022-10-22,"R2",14,4,"melanogasterW-FHVR2"
"233","melanogaster","W-","FHV",2022-10-22,"R3",15,4,"melanogasterW-FHVR3"
"234","melanogaster","W-","FHV",2022-10-22,"R4",13,4,"melanogasterW-FHVR4"
"235","melanogaster","W-","FHV",2022-10-22,"R5",13,4,"melanogasterW-FHVR5"
"236","melanogaster","W-","Ringer",2022-10-22,"R1",13,4,"melanogasterW-RingerR1"
"237","melanogaster","W-","Ringer",2022-10-22,"R2",12,4,"melanogasterW-RingerR2"
"238","melanogaster","W-","Ringer",2022-10-22,"R3",14,4,"melanogasterW-RingerR3"
"239","melanogaster","W-","Ringer",2022-10-22,"R4",14,4,"melanogasterW-RingerR4"
"240","melanogaster","W-","Ringer",2022-10-22,"R5",13,4,"melanogasterW-RingerR5"
"241","baimai","W+","FHV",2022-10-22,"R1",14,3,"baimaiW+FHVR1"
"242","baimai","W+","FHV",2022-10-22,"R2",14,3,"baimaiW+FHVR2"
"243","baimai","W+","FHV",2022-10-22,"R3",13,3,"baimaiW+FHVR3"
"244","baimai","W+","FHV",2022-10-22,"R4",14,3,"baimaiW+FHVR4"
"245","baimai","W+","FHV",2022-10-22,"R5",14,3,"baimaiW+FHVR5"
"246","baimai","W+","Ringer",2022-10-22,"R1",12,3,"baimaiW+RingerR1"
"247","baimai","W+","Ringer",2022-10-22,"R2",11,3,"baimaiW+RingerR2"
"248","baimai","W+","Ringer",2022-10-22,"R3",12,3,"baimaiW+RingerR3"
"249","baimai","W+","Ringer",2022-10-22,"R4",14,3,"baimaiW+RingerR4"
"250","baimai","W+","Ringer",2022-10-22,"R5",14,3,"baimaiW+RingerR5"
"251","baimai","W-","FHV",2022-10-22,"R1",14,3,"baimaiW-FHVR1"
